wardnum,orig,name1,name2
42,http://www.pmc.gov.in/sites/default/files/final_ward_maps/42_F_Ward.pdf,42 Ramtekadi - Sayyadnagar,Ramtekadi - Sayyadnagar
43,http://www.pmc.gov.in/sites/default/files/final_ward_maps/43_F_Ward.pdf,43 Wanawadi - Kausar Baug,Wanawadi - Kausar Baug
44,http://www.pmc.gov.in/sites/default/files/final_ward_maps/44_F_Ward.pdf,44 Kale Boratenagar - Sasanenagar,Kale Boratenagar - Sasanenagar
45,http://www.pmc.gov.in/sites/default/files/final_ward_maps/45_F_Ward.pdf,45 Fursungi,Fursungi
46,http://www.pmc.gov.in/sites/default/files/final_ward_maps/46_F_Ward.pdf,46 Mohammad wadi - Uruli Devachi,Mohammad wadi - Uruli Devachi
47,http://www.pmc.gov.in/sites/default/files/final_ward_maps/47_F_Ward.pdf,47 Kondhva Bk - Yewalewadi,Kondhva Bk - Yewalewadi
48,http://www.pmc.gov.in/sites/default/files/final_ward_maps/48_F_Ward.pdf,48 Upper Super Indiranagar,Upper Super Indiranagar
49,http://www.pmc.gov.in/sites/default/files/final_ward_maps/49_F_Ward.pdf,49 Balajinagar - Shankar Maharaj Math,Balajinagar - Shankar Maharaj Math
50,http://www.pmc.gov.in/sites/default/files/final_ward_maps/50_F_Ward.pdf,50 Sahakarnagar - Taljai,Sahakarnagar - Taljai
51,http://www.pmc.gov.in/sites/default/files/final_ward_maps/51_F_Ward.pdf,51 Vadgaon Bk - Manikbaug,Vadgaon Bk - Manikbaug
52,http://www.pmc.gov.in/sites/default/files/final_ward_maps/52_F_Ward.pdf,52 Nanded City - Sun City,Nanded City - Sun City
53,http://www.pmc.gov.in/sites/default/files/final_ward_maps/53_F_Ward.pdf,53 Khadakwasla - Narhe,Khadakwasla - Narhe
54,http://www.pmc.gov.in/sites/default/files/final_ward_maps/54_F_Ward.pdf,54 Dhayari - Ambegaon,Dhayari - Ambegaon
55,http://www.pmc.gov.in/sites/default/files/final_ward_maps/55_F_Ward.pdf,55 Dhankawadi - Ambegaon Pathar,Dhankawadi - Ambegaon Pathar
56,http://www.pmc.gov.in/sites/default/files/final_ward_maps/56_F_Ward.pdf,56 Chaitanyanagar - Bharati Vidyapeeth,Chaitanyanagar - Bharati Vidyapeeth
57,http://www.pmc.gov.in/sites/default/files/final_ward_maps/57_F_Ward.pdf,57 Sukhsagarnagar - Rajiv Gandhinagar,Sukhsagarnagar - Rajiv Gandhinagar
58,http://www.pmc.gov.in/sites/default/files/final_ward_maps/58_F_Ward.pdf,58 Katraj - Gokulnagar,Katraj - Gokulnagar
